id,feature,role,sub_feature,severity,dimension,premium_blocker,current_layer,target_gap,file,evidence,recommendation,verdict,verdict_conf,orig_severity,calibrated,cal_verdict,cal_real
P054,Insights,coach,Category deep-link from FairwayBrief (?category=tee),medium,wiring,True,1,The FairwayBrief category deep-link must pre-apply the category filter on the live surface (param key alignment).,"src/app/golf/(dashboard)/dashboard/insights/page.tsx:58-70; src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:283,308",FairwayBrief.tsx:174 links to `/golf/dashboard/insights?category=${token}`. page.tsx (redesign branch) destructures `category` out and folds it into `categoryChips`: `categoryChips: Array.from(new Set([...]))`. But the live component reads ONLY `sp.category` — `parseSetParam(sp.category)` (line 283) and `if (!sp.category && defaultFilter.categories?.length)` (line 308). It never reads `categoryChips`. So the folded value lands in a key the live surface ignores → the deep-linked category filter n,"In the redesign branch of page.tsx, pass the deep-link through as `category` (the key the live component reads) — e.g. keep `category` as-is or merge into a `category` CSV — rather than renaming it to the legacy `categoryChips`. (`tee` is a valid InsightCategory, so once the key matches the filter works.)",confirmed,high,critical,yes,mis-severed,True
P055,Insights,coach,Row card click vs. row action buttons (nested interactive),high,a11y,True,2,"Action clicks must not also trigger the card-open handler, and interactive controls must not be nested inside a role='button' container.","src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:880-908,958-960; src/components/fairway/cards-insight/InsightCard.tsx:244-245,361-363","renderCard sets `interactive onClick={() => setOpenRowId(row.id)}` on InsightCard, and InsightCard renders `actions` (the Acknowledge/Dismiss/Focus-area <Button>s) INSIDE the same <article> that gets `role='button'` + `tabIndex={0}`. The action buttons have no e.stopPropagation, so clicking 'Create focus area' or a pattern 'Confirm' (neither removes the row) ALSO fires the card's setOpenRowId → the InsightPanel sheet pops open at the same time as navigating/confirming. Nesting <button>s inside a","Stop event propagation on every row action handler (onClick={(e)=>{e.stopPropagation(); handler();}}), and make the card's open affordance a dedicated element (e.g. the title/body region or an explicit 'Open' control) rather than wrapping the whole article — so the card is not a role='button' that contains buttons.",confirmed,high,high,yes,confirmed,True
P056,Insights,coach,Per-row triage feedback (acknowledge / dismiss / create focus area),high,nielsen,True,2,"Visible success + failure feedback (Nielsen #1/#9) on the per-row triage actions, with undo where applicable.","src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:525-542,554-574","removeInsightOptimistic: on `!res.success` it does `setInsights(prev)` (row silently reappears) with NO error notice or toast. handleCreateFocusAreaFromInsight only sets error on a thrown exception, and on success silently router.push — no success confirmation. Bulk path uses setNotice(...) for success, but the per-row path (the common case) gives no visible success/failure feedback at all. A coach who dismisses a row that fails server-side just sees it flicker back with no explanation.","On per-row action failure, surface the returned error via the existing InlineNotice/toast (the action already returns {success,error}); on success show a brief confirmation/undo ('Acknowledged · Undo'). Wire the same notice channel the bulk path uses (setNotice/setError).",confirmed,high,high,yes,confirmed,True
P057,Insights,coach,Empty state — 'All clear' CTA,medium,microcopy,False,2,"Empty-state copy/CTA must match what this route can actually do (a real next action, not a phantom 'Scan').",src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:1310-1315,"The non-filtered insights empty state reads: title 'All clear — no signals right now', description 'Your players are on track. Scan the team to check for anything new.' But /insights renders with showScanTeam=false (page.tsx never passes it), so there is NO Scan-Team control on this route. The copy instructs the coach to perform an action the surface does not offer.",Either render an actual CTA here (e.g. a Scan-Team button or a link to where scanning lives) or change the copy to something achievable on this route (e.g. 'New insights appear here as players log rounds — check the Brief or run a team scan from Alerts.'). An empty state should offer a real next action (hard-gate B2).,,,medium,no,,
P058,Insights,coach,"Data completeness — limit:100 truncation, no pagination/total disclosure",medium,data,True,2,No silent truncation: paginate or honestly disclose loaded-vs-total when the visible set exceeds the 100 cap.,"src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:373-378,1095; src/app/golf/actions/insight-delivery.ts:463,541-549","loadInsights calls getInsightsForCoach(coachId, { limit: 100 }). getInsightsForCoach clamps limit to 100 and slices the ranked full set to 100 (the action even logs a soft-ceiling warning at >800 visible rows). The surface has NO pagination / load-more (grep for pagination/loadMore returns nothing). The only disclosure is a 'Loaded' MetricCard counting allRows (max 100) — it never states the true eligible total, so a team with >100 visible insights silently loses rows with no '100 of N' indicato","Either paginate (load-more past the first 100) or, at minimum, surface the true eligible count vs loaded ('Showing 100 of N — load more') so the cap is honest. The legacy page paginated within the set; the premium path should not silently truncate.",partial,high,high,yes,mis-severed,True
P059,Insights,coach,Touch targets — primary row/bulk action buttons,medium,mobile,False,2,Primary triage action buttons reach >=44px touch height on mobile.,"src/components/fairway/controls/button.tsx:87; src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:849-906,1040-1063",Fairway Button size='sm' = 'min-h-[36px] px-3.5 py-1.5' (button.tsx:87) — below the 44px premium/touch bar. All per-row triage actions (Confirm/Address/Resolve/Dismiss/Focus area/Acknowledge) and the bulk-action buttons are rendered with size='sm'. These are the coach's most-tapped controls on a triage surface.,"Use size='md' (min-h-44px) for the primary per-row triage actions on touch, or bump the sm token to >=44px on coarse pointers. The DoD requires touch targets >=44px.",,,medium,no,,
P060,Insights,coach,Touch targets — applied-filter chip remove buttons,medium,a11y,False,2,"Chip dismiss targets meet WCAG 2.2 2.5.8 (>=24px), premium would be 44px.","src/components/fairway/controls/badge.tsx:96-97,123-136; src/components/fairway/pages/coachhelm/signals/SignalsToolbar.tsx:202-206",The applied-filter recall Chips (severity/status/category) render a remove <button> sized 'h-4 w-4' (sm) / 'h-5 w-5' (md) = 16-20px (badge.tsx:96-97). That is below WCAG 2.2 AA 2.5.8 minimum target size (24x24) and far below the 44px premium bar. SignalsToolbar renders these chips with size='sm'.,"Increase the chip remove hit area to >=24px (ideally 44px via padding) while keeping the glyph small, e.g. enlarge the clickable button padding without changing the visual icon size.",,,medium,no,,
P061,Insights,coach,Generate / refresh affordance parity,medium,completeness,False,2,A manual refresh (and AI-settings link) so the coach can re-pull the feed without a triage side-effect.,src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:1102-1145; src/app/golf/(dashboard)/dashboard/insights/InsightsPageContent.tsx:582-604,"The legacy InsightsPageContent header offers Generate (generateTeamInsights), a Refresh control, and an AI-settings link. The live FairwayCoachHelmSignals has NO refresh button (data only re-reads after a triage/bulk action or scan) and NO generate or AI-settings entry point on /insights. A coach who wants to re-pull or regenerate has no control; the surface can only be re-fetched implicitly.","Add at least a Refresh control (re-run loadInsights(false)) and a quiet link to coaching-intelligence settings to the CoachHelmShell actions slot, matching the legacy parity. Decide intentionally whether Generate belongs here or only on the Brief.",,,medium,no,,
P062,Insights,coach,Export — degrades silently from selection to 'export all filtered',low,completeness,False,2,Export communicates its scope (selected vs all-filtered) and respects selection once selection exists.,"src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:664-685,1061-1063,1131","handleExport: `const ids = selectedIds.size > 0 ? Array.from(selectedIds) : filteredRows.map(r => r.id)`. Because selection is dead (finding 1), the first branch is unreachable, so Export ALWAYS exports the full filtered set with no indication to the coach that it's exporting everything (no 'Export N' label, no confirm). The Export button label is just 'Export'.","Once selection is wired, label the Export button with the count ('Export 12') and/or confirm the scope. Until then, label it 'Export all (N)' so the coach knows the scope.",,,low,no,,
P063,Insights,coach,InsightPanel sheet — read-only detail richness,low,completeness,False,2,"The expand-in-place read shows the data it already loaded (timestamp, drills, resolved player) rather than a near-empty detail.",src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:1388-1430,"The expand-in-place InsightPanel detail block only renders `Player: {playerName}` for insights — and for insights the adapter sets playerName=undefined (patternToInsightVocabulary.ts:223), so the detail line is empty for the insights source. The panel carries no timestamp, no category/status chip, and no attached-drill chips even though getInsightsForCoach pre-joins golf_drills (INSIGHT_SELECT includes drill_attachments). The richest 'read' of a signal omits data the read already fetched.","Surface created-at, status, and the pre-fetched drill chips in the panel detail; resolve a player name for insights (the surface has filterOptions players elsewhere / can join) so the 'Player:' line isn't blank.",,,low,no,,
P064,Insights,coach,Grouped 'By player' header — Unknown player fallback,low,data,False,2,Insights rows carry resolved player names so the default 'By player' grouping is meaningful instead of one 'Unknown player' bucket.,src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:792-806; src/components/fairway/pages/coachhelm/signals/patternToInsightVocabulary.ts:223,"For the insights source, insightToSignalRow sets playerName=undefined (line 223), so grouping 'By player' (the default groupBy for insights, line 296) buckets EVERY insight row under the single 'Unknown player' heading (line 800 fallback). The default grouped view of the insights surface therefore collapses the whole feed into one meaningless 'Unknown player' group.","Resolve player names for the insights source (join golf_players in getInsightsForCoach, or map via the filterOptions players the page already loads) so 'By player' grouping actually groups by athlete; otherwise default insights to groupBy='category'.",,,low,no,,
P065,Insights,coach,Cross-link 'Open the insight workspace',low,nielsen,False,2,No link that points back to the same page implying a different 'archive'.,src/components/fairway/pages/coachhelm/FairwayCoachHelmSignals.tsx:1444-1454,"On the insights surface, a footer link reads 'Looking for the full archive? Open the insight workspace' → href '/golf/dashboard/insights' — i.e. it links back to the SAME route the coach is already on (the live insights surface is itself this component). The 'full archive' it implies (the legacy paginated InsightsPageContent) only renders when the redesign flag is OFF, so on the live path the link is a no-op self-reference.","Remove this self-referential link on the live path, or point it at a genuinely different destination (e.g. an archive view with resolved/dismissed history). As-is it implies a richer archive that the premium path doesn't reach.",,,low,no,,
P066,CoachHelm Analytics / Effectiveness,coach,SSR loader-failure error state,medium,states,True,2,Hard gate B3 requires every error state to offer retry. Add an in-UI retry control to reach Layer 3.,src/app/golf/(dashboard)/dashboard/analytics/coachhelm/page.tsx:98-107,"if (loaderError) { return (<div ...><InlineNotice tone=""danger"" title=""Couldn’t load effectiveness analytics"">{loaderError}. Refresh the page to try again — ...</InlineNotice></div>); }  — the notice has NO action/retry button; it only tells the user to refresh the page manually.","Give the SSR error path a real recovery: pass an `action` to InlineNotice with a button (e.g. a client 'Try again' that router.refresh()s, or render this through the client FairwayEffectiveness so its existing handleRefresh retry is reachable). Never ship an error state whose only 'fix' is the browser reload.",confirmed,high,critical,yes,mis-severed,True
P067,CoachHelm Analytics / Effectiveness,coach,CoachHelm sub-nav (primary navigation on this surface),high,a11y,True,2,Fix the ARIA role mismatch so screen readers announce a navigation list of links (not an empty tablist). Required for Layer 3 a11y.,src/components/fairway/pages/coachhelm/CoachHelmSubNav.tsx:275-312,"<ul role=""tablist""> ... <li role=""presentation""> <Link ... aria-current={isActive?'page':undefined} tabIndex=...> — the items are Next <Link>s with NO role=""tab"" and NO aria-selected. A role=""tablist"" with non-tab children is an invalid ARIA pattern (WCAG 2.2 4.1.2 Name/Role/Value); these are also real route-navigating links, not tabs.","Drop role=""tablist""/role=""presentation"". The element is already wrapped in <nav aria-label>; render a plain <ul>/<li> of links and keep aria-current=""page"" on the active one. (If a tab pattern is truly wanted, switch to button-driven panels with role=""tab""+aria-selected — but for cross-route links, the nav/link semantics are correct.)",confirmed,high,critical,yes,mis-severed,True
P068,CoachHelm Analytics / Effectiveness,coach,Prediction-accuracy hero caption (date-range honesty),medium,data,True,2,Numbers must be honestly labelled with the window they describe; remove the hardcoded 30-day caption to reach Layer 3 data-honesty.,"src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:415,437","Line 415: <span ...>Validated predictions · last 30 days</span>  and line 437: `Awaiting resolved predictions — ${resolved} of ${GAUGE_MIN_RESOLVED}.` while the header (line 261) correctly reads `Last ${days} days`. With the date-range Segmented set to 7d/14d/60d/90d the hero still hardcodes 'last 30 days', contradicting the active range.",Thread the active range (days) into PrimaryInstrument and render `last ${days} days` instead of the literal 30. Same for any other 30-day literal so the caption never contradicts the selected filter.,partial,high,high,yes,mis-severed,True
P069,CoachHelm Analytics / Effectiveness,coach,Insights-surfaced tertiary readout vs selected range,high,data,False,2,Make every cockpit figure reflect the selected range (no fixed-30d leak) for Layer 3 data correctness.,src/app/golf/actions/coachhelm-analytics.ts:627-643; src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:614,"getCoachHelmOverview hardcodes a 30-day window (`const thirtyDaysAgo = ...`) and is NOT re-fetched on range change (handleRange only re-fetches effectiveness/performance/patternImpact, lines 215-219; overview is only refreshed by handleRefresh). InsightsSurfacedReadout falls back to `overview?.totalInsights` (line 614) — a fixed 30-day count — even when the user has selected 7d, so 'Insights surfaced' can show a 30-day figure under a 'Last 7 days' header.","Either (a) make getCoachHelmOverview accept a DateRange and re-fetch it on range change, or (b) drive 'Insights surfaced' solely from the range-scoped effectiveness.overall.totalGenerated and drop the 30-day overview fallback so the count always matches the active window.",,,high,no,,
P070,CoachHelm Analytics / Effectiveness,coach,Accuracy summary windowing (rate vs count mismatch),medium,data,False,2,Align the rate and the count to one window so the stated payoff sentence is arithmetically true.,src/app/golf/actions/coachhelm-analytics.ts:424-427,"summary.overallAccuracy = rateTotals.accuracy / count (AVERAGE of accuracy_rate across ALL rolling snapshots) while summary.validatedPredictions = (latest?.predictions_validated) (LATEST snapshot only). The hero then states `of ${resolved} resolved predictions proved accurate` (FairwayEffectiveness.tsx:436) — pairing an all-snapshot averaged rate with a single-snapshot count, two different denominators.","Compute overallAccuracy and the 'resolved' count over the SAME basis (e.g. weight accuracy by each snapshot's validated count, or report both from the latest snapshot). The sentence 'X% of N resolved proved accurate' should use one coherent window.",,,medium,no,,
P071,CoachHelm Analytics / Effectiveness,coach,Hero accuracy number typography,medium,ui-foundation,False,2,"Use the design-system Readout / a scale-step size (≤3 sizes, token-only) to reach Layer 3 foundation discipline.",src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:418,"<span className=""font-fw-mono text-[64px] font-semibold leading-none tabular-nums text-text-primary"">{live ? formatPercent(accuracy, 0) : '—'}</span> — an arbitrary off-scale type size hand-rolled inline, bypassing the Readout primitive's SIZE_VALUE map (sm/md/lg/hero = 28/40/56/72px). 64px is on no scale step.","Render the hero via the Readout primitive (state live/awaiting, size lg or hero, display=formatPercent) so the value, awaiting state, and type scale all come from one source — and the bespoke 'live ? … : —' / lowConfidence logic stops duplicating the Readout's honesty contract. At minimum use a token size step, not text-[64px].",,,medium,no,,
P072,CoachHelm Analytics / Effectiveness,coach,Cockpit empty state,medium,states,False,2,"A real, reachable first-run empty state (one message + next action) instead of dead code, for Layer 3 completeness.",src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:337-344,"if (!overview && !effectiveness && !performance && !patternImpact) { return <EmptyState title=""No effectiveness signal yet"" ... /> } — but all four loaders return success:true with ZEROED objects on empty (generateMockInsightEffectiveness/generateMockPredictionPerformance at lines 841/874/982/1013; getPatternImpact returns a zeroed object at 479). So on a real load these props are never all undefined; this EmptyState is effectively dead code and the user instead sees a grid of 'awaiting' instrum","Either derive the genuinely-empty condition from the actual zero aggregates (e.g. totalGenerated===0 && validatedPredictions===0 && patternsDetected===0) to show the friendly EmptyState+CTA, or delete the dead branch. As-is a brand-new team sees a cockpit of dim gauges rather than one clear 'no signal yet, here's how to start' moment.",,,medium,no,,
P073,CoachHelm Analytics / Effectiveness,coach,Date-range filter + Refresh touch targets,medium,mobile,False,2,Primary filter/refresh controls at >=44px on touch to reach Layer 3 mobile parity.,src/components/fairway/controls/segmented.tsx:53; src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:245-249,"The range Segmented is size=""sm"" → items are min-h-[30px] (segmented.tsx:53) and the Refresh Button is size=""sm"" → min-h-[36px] (button.tsx:87). Both sit in the masthead action cluster as the primary interactive controls of the surface; 30px/36px are below the 44px premium tap target (DoD 'touch targets >=44px').","Use size=""md"" for the range Segmented (min-h-[36px]) and Refresh on touch viewports, or bump the sm step to >=44px for these masthead controls. They are the most-used controls on the page and should clear the premium tap bar on mobile.",,,medium,no,,
P074,CoachHelm Analytics / Effectiveness,coach,Strokes-gained tornado a11y vs documented behavior,low,a11y,False,3,Doc/impl parity; optional per-row keyboard focus would push toward Layer 4.,"src/components/fairway/charts/StrokesGainedTornado.tsx:11-15,143",Header doc: 'Keyboard-focusable rows announce their value via the row's aria-label' — but the implementation renders <svg ... aria-hidden> (line 143) with NO focusable rows and NO per-row aria-label. The chart is only reachable via ChartFrame's 'view as table' toggle + the figure-level aria-label.,"The table fallback makes this acceptable, but either implement the focusable annotated rows the doc promises or correct the comment so future maintainers don't assume per-row keyboard access exists. (Low because the figure is still fully accessible via the table.)",,,low,no,,
P075,CoachHelm Analytics / Effectiveness,coach,Component spec / documentation drift,low,microcopy,False,3,Keep the documentation in sync with the implementation; purely internal polish.,"src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:19-25,411-412","The file header (lines 19-25) describes the PRIMARY instrument as 'a sweeping RadialGauge of overall prediction ACCURACY (climbing toward ~70%) with the huge mono readout', but the shipped PrimaryInstrument comment at 411-412 states 'Flat, clean hero — a big SF/mono number, NOT a gauge.' The extensive cockpit doc no longer matches the implementation.","Update the file-header narrative to match the shipped flat-number hero (and remove the RadialGauge/Dial language) so the spec block is trustworthy. Not user-facing, but a craft/maintainability tell.",,,low,no,,
P076,CoachHelm Analytics / Effectiveness,coach,Refresh control — system-status feedback,low,nielsen,False,3,Add a completion confirmation / freshness timestamp to fully satisfy visibility-of-system-status; nudges toward Layer 4.,"src/components/fairway/pages/coachhelm/FairwayEffectiveness.tsx:248-249,281-282","Refresh shows 'Refreshing…' and disables (good), and isPending swaps the body to CockpitSkeleton (281-282). But there is no success confirmation toast/'updated just now' timestamp after a manual Refresh — the user can't tell whether anything changed when the numbers are identical. lastUpdated exists on overview (action line 761) but is never surfaced.","On successful refresh, show a subtle 'Updated <relative time>' line (use overview.lastUpdated) or a brief toast, so Refresh gives visible completion feedback (Nielsen #1 visibility of system status) even when the data is unchanged.",,,low,no,,
P077,Coaching Intelligence Settings,coach,Coach philosophy load/save error handling,high,states,True,2,Add a designed error state with retry for the philosophy fetch/create failure path; never let a load failure render as a perpetual skeleton.,src/components/fairway/pages/settings/FairwaySettingsCoachingIntelligence.tsx:133,"const { philosophy, loading, saving, save } = useCoachPhilosophy(coachId); — `error` is exposed by the hook (useCoachPhilosophy.ts:131,222 returns `error`) but never destructured or rendered. The guard `if (loading || !philosophy) return <skeleton>` (line 197) means a failed fetch/create (hook sets error + loading=false, philosophy stays null) renders the loading skeleton FOREVER with no message, no retry.","Destructure `error` from the hook and render a real error state (InlineNotice tone=danger + a Retry that re-runs the fetch) when error && !loading && !philosophy, instead of falling through to the infinite skeleton. The route-level error.tsx does not catch this because the hook swallows the error into state rather than throwing.",confirmed,high,critical,yes,mis-severed,True
P078,Coaching Intelligence Settings,coach,Bubble Zone threshold slider,medium,data,True,1,Every interactive control must reach a real consumer; remove or wire the dead Bubble Zone slider.,src/components/fairway/pages/settings/FairwaySettingsCoachingIntelligence.tsx:298,"<ThresholdSlider label=""Bubble Zone"" ... value={philosophy.bubbleZoneRange} onChange={(v)=>handleThresholdChange('bubbleZoneRange', v)} ... /> persists golf_coach_philosophy.bubble_zone_range, but a repo-wide search shows NO engine consumer: it appears only in CRUD allowlist (coaching-philosophy.ts:27) and value mappers (insights.ts:282 just maps it, never uses it; orchestrator.ts SELECT omits it). The coach changes it, sees ""Saved,"" and nothing in the product changes — exactly the placebo the W",Either wire bubble_zone_range into the bubble-player detection logic (it pairs naturally with alert_bubble_player) or hide/remove the Bubble Zone slider the same way WeightDistributor was suppressed. Do not ship a writable control with zero consumers.,confirmed,high,critical,yes,mis-severed,True
P079,Coaching Intelligence Settings,coach,Comparison Weighting section,low,completeness,True,2,No section may advertise (via heading + description) a capability that does not exist; gate the whole section until the weights are consumed.,src/components/fairway/pages/settings/FairwaySettingsCoachingIntelligence.tsx:309,"A full <Surface> renders h2 ""Comparison Weighting"" + description ""When comparing players for roster decisions, how much should each factor matter?"" but its only child <WeightDistributor> is a hard-coded stub (WeightDistributor.tsx:34-48 returns a dashed 'coming soon' note; props void). So a premium-looking section header + descriptive copy frame a non-functional placeholder.","If weights are not wired, hide the entire section (gate the Surface on a feature flag) rather than presenting a polished header around a 'coming soon' box. A power user reads the header/description as a real feature and is misled. When the roster-comparison engine consumes golf_coachhelm_coach_weights, restore the interactive distributor and the section together.",confirmed,high,high,yes,mis-severed,True
P080,Coaching Intelligence Settings,coach,Reused legacy editor widgets — accent color mismatch,medium,ui-foundation,True,2,Single consistent helm-green accent across the whole page; remove the brighter legacy primary-500 from the live render.,src/components/golf/coachhelm/settings/ThresholdSlider.tsx:73,"Fill/active states across the reused widgets use legacy `primary-500` (=#22c55e, tailwind.config.ts:90) — e.g. ThresholdSlider fill `bg-primary-500` (line 73), thumb border `border-primary-500` (line 65), PriorityRanker priority bar `bg-primary-500` (PriorityRanker.tsx:104), AlertTypeToggles checkbox `text-primary-600` (AlertTypeToggles.tsx:35). The Fairway chrome around them uses `accent-500` = oklch #16A34A (design-tokens.css:31, the LOCKED helm green). Two different greens render in the same ","Migrate the shared coachhelm/settings widgets to Fairway accent tokens (accent-500/600, text-on-accent) so the brand green is identical across chrome and editors, or render Fairway-native variants for the live path. One brand accent per screen (criteria C2).",partial,high,high,yes,mis-severed,True
P081,Coaching Intelligence Settings,coach,Reused legacy editor widgets — white cards inside Fairway surface,medium,ui-foundation,True,2,All surfaces on the live page use warm Fairway tokens; eliminate bg-white from the editor widgets.,src/components/golf/coachhelm/settings/AlertTypeToggles.tsx:25,"AlertTypeToggles rows use `bg-white` (line 25) and PriorityRanker items use `bg-white` (PriorityRanker.tsx:60); SensitivitySlider thumb uses `bg-white` (SensitivitySlider.tsx:42). The Fairway design tokens explicitly forbid white cards (design-tokens.css:63 'no white cards' — surface is warm cream oklch #fefdfa). These cold-white nested cards sit inside warm Fairway Surfaces, an amateur-tell surface mismatch.","Replace `bg-white` with `bg-surface`/`bg-surface-sunken` and `border-warm-*` with `border-border-subtle`/`border-border-strong` in the reused widgets (or provide Fairway-scoped overrides). Matches criteria C2/C3 (warm matte surfaces, never cold white).",confirmed,high,high,yes,mis-severed,True
P082,Coaching Intelligence Settings,coach,Reused legacy editor widgets — legacy warm-*/cream-* token soup,medium,ui-foundation,False,2,One token vocabulary across chrome and editors.,src/components/golf/coachhelm/settings/SensitivitySlider.tsx:39,"SensitivitySlider track `bg-warm-100`, labels `text-warm-900/500/700` (lines 39,58,67); ThresholdSlider `text-warm-900/500/400`, `bg-warm-100` (ThresholdSlider.tsx:42,45,69,81); AlertTypeToggles `text-warm-500/900`, `border-warm-200/300` (AlertTypeToggles.tsx:16,25,38). The Fairway chrome uses `text-text-primary/secondary/tertiary` + `border-border-subtle`. The page mixes two token vocabularies for text/borders.","Standardize the reused widgets on Fairway text/border tokens (text-text-*, border-border-*, surface-*). Token discipline is a hard de-vibe criterion (C2: design tokens only).",,,medium,no,,
P083,Coaching Intelligence Settings,coach,Page navigation — back button & breadcrumb,medium,nielsen,False,2,"Explicit in-page back/breadcrumb to /settings on the live path, matching the pattern dropped from legacy.",src/components/fairway/pages/settings/FairwaySettingsCoachingIntelligence.tsx:219,"The Fairway page uses <ViewHeader eyebrow=""Settings"" title=""Coaching Intelligence"" .../> which has NO back/breadcrumb prop (view-header.tsx:55-124 — no onBack/backHref/breadcrumb). The legacy page it replaced had MobileNavHeader backHref=""/golf/dashboard/settings"" + a full <Breadcrumb> (page.tsx:222-234). On this deep sub-page the only way back to the settings index is the global sidebar/drawer.","Add a back affordance (a 'Settings' back link / breadcrumb above or in the ViewHeader) so the coach has explicit user-control/freedom (Nielsen #3) and parity with the rest of the app (Nielsen #4). The eyebrow 'Settings' is decorative, not a link.",,,medium,no,,
P084,Coaching Intelligence Settings,coach,Team CoachHelm master switch — assistant-coach affordance,medium,nielsen,False,2,Disable the destructive control for users who lack permission rather than letting them trigger a guaranteed failure.,src/components/fairway/pages/settings/FairwaySettingsCoachingIntelligence.tsx:356,"<Switch checked={teamSettings?.enabled ?? true} disabled={!teamSettings || teamSettingsSaving} onCheckedChange={...} /> — the disabled condition never accounts for head-coach permission. The server gate updateTeamCoachHelmSettings (insights.ts:3744) returns 'Only the head coach can change CoachHelm settings'. So an assistant coach sees an enabled toggle, flips it (optimistic UI flips immediately, line 116-118), then it reverts with an error banner — a confusing permission-after-the-fact flow.","Resolve isHeadCoach client-side and render the Switch disabled (with a 'Only the head coach can change this' helper) for assistant coaches, preventing the failed action entirely (Nielsen #5 error prevention) instead of an optimistic flip + revert.",,,medium,no,,
P085,Coaching Intelligence Settings,coach,SG Baseline selector — load-failure state,medium,states,False,2,"Designed error state for the SG baseline initial-load failure, matching its existing save-error handling.",src/components/golf/coachhelm/settings/SgBaselineSelector.tsx:37,"getTeamSgBaseline().then((r)=>{ if (r.success) {setBaseline(...); setGender(...)} setLoading(false); }) — when r.success is false (team-sg-baseline.ts getTeamSgBaseline returns {success:false,error} if resolveCoachTeam fails), the component sets loading=false but baseline stays null and shows NO error. The Select renders empty silently. Save errors are handled (status==='error', line 105) but load errors are not.",Handle the {success:false} branch: set an error status and render the error message (the component already has an aria-live region at line 95). Don't silently show an empty selector on load failure.,,,medium,no,,
P086,Coaching Intelligence Settings,coach,Threshold slider — screen-reader value announcement,low,a11y,False,2,Range inputs announce value WITH unit to AT (WCAG 2.2 name/role/value).,src/components/golf/coachhelm/settings/ThresholdSlider.tsx:57,"<input id={id} type=""range"" min max step value onChange=... /> has a linked <label htmlFor> (good name) but no aria-valuetext, so a screen reader announces bare numbers (e.g. '2.5') without the unit shown visually (the 'sg'/'strokes' badge at line 51 is a separate, unassociated span). The value badge is not tied to the input via aria-describedby either.","Add aria-valuetext={`${value.toFixed(1)} ${unit}`} to the range input so assistive tech announces the unit, matching the visible value+unit.",,,low,no,,
P087,Coaching Intelligence Settings,coach,Alert toggles — focus indicator contrast,low,a11y,False,2,Visible >=2px focus indicator at >=3:1 contrast on every keyboard-operable control.,src/components/golf/coachhelm/settings/AlertTypeToggles.tsx:35,"className=""peer h-5 w-5 rounded border-warm-300 text-primary-600 focus:ring-primary-500/20"" — the keyboard focus ring is primary-500 at 20% opacity, which is very faint and unlikely to meet the WCAG 2.2 focus-appearance / 3:1 non-text contrast requirement against the white checkbox background.",Use a focus-visible ring at full strength (e.g. ring-2 ring-accent-500/70 ring-offset-2) consistent with the Fairway focus tokens used elsewhere on the page (Switch/InsightVerbosity buttons).,,,low,no,,
P088,Coaching Intelligence Settings,coach,Editor widgets — reduced-motion & haptic consistency,low,motion,False,2,All motion on the page honors prefers-reduced-motion; one haptic/motion system.,src/components/golf/coachhelm/settings/PriorityRanker.tsx:60,"Reused widgets animate (PriorityRanker `transition-all duration-150` + drag scale, ThresholdSlider thumb `hover:scale-110`, SensitivitySlider sliding indicator `transition-all duration-200`) with NO prefers-reduced-motion guard (grep for motion-reduce/useReducedMotion in coachhelm/settings = empty), while the Fairway chrome carefully honors it. Also they call legacy triggerHaptic('medium'/'light') (PriorityRanker.tsx:144, AlertTypeToggles.tsx:32) whereas Fairway Switch uses fwHaptic('selection')",Add motion-safe:/motion-reduce guards to the widget transitions and standardize on the Fairway haptic helper for consistency on the live path (criteria C5).,,,low,no,,
