id,severity,tab,unit,file,issue,cluster,wave,autonomy,legacy_disposition,verification,status,pr
F049,MEDIUM,CoachHelm Analytics,coachhelm-analytics,"coachhelm-analytics.ts:626-627,734-741","`getCoachHelmOverview` hardcodes a 30-day window and does not accept a `dateRange`. In the legacy dashboard `handleDateRangeChange` never re-calls it (CoachHelmAnalyticsDashboard.tsx:119-128), so the summary cards (Total Insights / Action Rate / Improvement Rate / Prediction Accuracy / Strokes Saved) stay frozen at the 30d SSR snapshot while the panels below them update to the selected range.",C24-coachhelm-legacy-skip-dormant,C,autonomous,skip-dormant,F053 ChatHistoryClient flag-off only; F049 frozen summary cards only in legacy CoachHelmAnalyticsDashboard (live FairwayEffectiveness re-fetches); document deferred-legacy won't-fix,skip-dormant,—
F050,MEDIUM,CoachHelm Analytics,coachhelm-analytics,"AnalyticsSummaryCards.tsx:80 vs FairwayEffectiveness.tsx:386,419","Two different ""Prediction Accuracy"" numbers from two sources on the same feature. Overview card uses `overview.predictionAccuracy` = raw `golf_predictions.was_accurate` averaged over the last 30d (coachhelm-analytics.ts:729-741). The redesign cockpit's hero uses `performance.summary.overallAccuracy` = mean of `accuracy_rate` across `golf_prediction_model_performance` rollup snapshots (coachhelm-analytics.ts:425). These two computations can disagree for the same team/window.",B24-analytics-prediction-accuracy-source-error,B,autonomous,fix,browser: hero+overview accuracy from same rollup source+match; SSR {success:false} -> InlineNotice (was falsely empty); HOT coachhelm-analytics; tc/lint/vitest,done,#329
F051,MEDIUM,CoachHelm Analytics,coachhelm-analytics,"page.tsx:78-83,99-102,117-120","SSR loaders that return `{success:false, error}` are unwrapped with `result.data` (undefined). The page never inspects `.success`, so a server-side query failure renders the empty/""no signal"" state instead of an error. The redesign component only sets `loadError` on the client re-fetch path (FairwayEffectiveness.tsx:195-201), not on the initial SSR data.",B24-analytics-prediction-accuracy-source-error,B,autonomous,fix,browser: hero+overview accuracy from same rollup source+match; SSR {success:false} -> InlineNotice (was falsely empty); HOT coachhelm-analytics; tc/lint/vitest,done,#329
F052,MEDIUM,Genome + Compare,coachhelm-genome,`src/app/golf/(dashboard)/dashboard/coachhelm/genome/[playerId]/page.tsx:54`,"Non-coach gate redirects to `/golf/dashboard/coachhelm/genome/${playerId}/forbidden`, a route segment that does not exist (no `forbidden/` dir under `[playerId]`, no golf `not-found.tsx`, no middleware rewrite).",B31-coach-surface-denial-error-destinations,B,autonomous,fix,browser: genome non-coach -> clean redirect /golf/dashboard (was bare 404); qualifying error home -> /golf/dashboard/qualifiers (was player dead-end); tc/lint,done,#328
F053,MEDIUM,CoachHelm Hub + Chat,coachhelm-hub,`src/app/golf/(dashboard)/dashboard/coachhelm/chat/ChatHistoryClient.tsx:42-78`,"Legacy (flag-off) chat history client `fetch`es `/conversations/[id]` and `/chat/send`; the send/load wiring exists but the surrounding rail has only an empty state (""No conversations yet""), no visible error UI for a failed send/load on this legacy page (the drawer + AskWorkspace handle errors; this fallback does not surface them as clearly).",C24-coachhelm-legacy-skip-dormant,C,autonomous,skip-dormant,F053 ChatHistoryClient flag-off only; F049 frozen summary cards only in legacy CoachHelmAnalyticsDashboard (live FairwayEffectiveness re-fetches); document deferred-legacy won't-fix,skip-dormant,—
F054,MEDIUM,Insights,coachhelm-insights,insight-management.ts:704-710 vs insight-delivery.ts:508-531,"StatCards/hero count via `getInsightsStats` filter by `.eq('coach_id', coachId)`, but the list (`getInsightsForCoach`, no player_id) is scoped only by RLS, which (policy `coach_insights_select_via_player_team`, baseline.sql:18551) returns insights for ANY player on a staffed team regardless of which coach generated them. In a multi-coach program the StatCards undercount what the list shows; team-wide rows (`player_id IS NULL`) created by another coach appear in the list but not the stats.",B21-insights-stats-scope-error-trend,B,autonomous,fix,browser: StatCards match list count; read failure -> error banner (not empty state); Active card drops false up-arrow; tc/lint/vitest,done,#328
F055,MEDIUM,Insights,coachhelm-insights,InsightsPageContent.tsx:341-358,"`fetchInsights` has no error branch; `getInsightsForCoach` returns `[]` on any failure (insight-delivery.ts:552-558). A failed/timed-out read renders the generic ""No insights found"" empty state. `fetchStats` (L360-365) also silently no-ops.",B21-insights-stats-scope-error-trend,B,autonomous,fix,browser: StatCards match list count; read failure -> error banner (not empty state); Active card drops false up-arrow; tc/lint/vitest,done,#328
F056,MEDIUM,Insights,coachhelm-insights,insight-card/InsightCard.tsx:744-775 + InsightsPageContent.tsx:539-552,"The coach per-row ""Create focus area"" button uses `PromoteToFocusAreaButton` (its own drawer → `createFocusAreaFromInsightV2`) for ALL active insights (`promotable` true unless resolved). The parent `onAction('create_focus_area')` path (→ `createFocusAreaFromInsight` + redirect to `/development`) only fires for resolved insights, where it renders a *second* ""Create focus area"" button. So the parent handler + its redirect-to-development behavior is effectively unreachable for normal (active) insights, and the two code paths use two different server actions.",B22-insights-create-focus-area-unify,B,autonomous,fix,pick ONE promotion path; promote active+resolved -> single flow/action; tc/lint/vitest,done,#328
F057,MEDIUM,Patterns,coachhelm-patterns,"`FairwayCoachHelmSignals.tsx:597`, `:573-578`","The optimistic rollback for pattern mutations (`handleConfirmPattern` line 597 and `removePatternOptimistic` lines 573-578) restores prior state on `!success`/throw but never calls `setError(...)`. Combined with the two CRITICALs above, Confirm and Address fail completely silently — the UI animates the change then reverts with zero feedback.",B9b-patterns-silent-rollback-error-feedback,B,autonomous,fix,browser: force a pattern mutation failure -> InlineNotice error appears (was silent revert); setError mechanism already exists in FairwayCoachHelmSignals; SERIALIZE after B1+B9 (HOT FairwayCoachHelmSignals); tc/lint/vitest,done,#331
F058,MEDIUM,Patterns,coachhelm-patterns,"`pattern-management.ts:206-214` + `PatternCard.tsx:430-440,503-505`","`transformPatternRow` maps `coachNotes`/`validatedAt`/`addressedAt` from DB columns that don't exist, so they are always `undefined`. The ""Coach Notes"" panel (`PatternCard.tsx:431`) and the ""Validated:"" timestamp (`PatternCard.tsx:503`) can therefore never render, even after a (hypothetically fixed) validate — and the validate modal's notes textarea (`PatternValidationModal.tsx:247`) captures text that is dropped on write and never read back.",A7-patterns-v2-add-columns (+B1 code remap),A,review-gated,fix,"ADD COLUMN IF NOT EXISTS addressed_at+coach_notes; information_schema 2 cols; coach UPDATE lifecycle/addressed_at/coach_notes -> rowCount=1 (was 42703); MUST merge before B1 pattern-management.ts edit (HOT); browser Confirm+Address persists, Coach Notes+Validated render; regen database.ts; tc/lint/vitest",done,#331
F059,MEDIUM,Coaching Settings,coaching-settings,"`coaching-intelligence/page.tsx:42-93`, Fairway `:86-110`","Coach-only page has no self-gate. A player (or any user without a `golf_coaches` row) who deep-links/bookmarks the route is not redirected; `coachId` resolves to null, `useCoachPhilosophy` returns `loading=false`+`philosophy=null`, and the page is stuck on the loading skeleton forever. No data leak (RLS protects the table) but the route is reachable and never renders content/empty/error. Inconsistent with the sibling `notifications/page.tsx:23-45` which role-gates gracefully.",B19-coaching-settings-self-gate,B,autonomous,fix,browser: player deep-link -> coach-only notice/redirect (mirror notifications gate); coach still sees page; tc/lint/vitest,done,#328
F060,MEDIUM,Coaching Settings,coaching-settings,`AlertTypeToggles.tsx` + `insights.ts:288-297`,"The 11 ""Active Alerts"" toggles persist to `golf_coach_philosophy.alert_*` but are never read to suppress alert emission. The engine loads them into the philosophy object then ignores them; no code path checks `philosophy.alertScoringDecline` etc. before generating that alert type.",B20-coaching-settings-engine-wiring,B,review-gated,fix,per-control browser red->green: alert toggle suppresses type; verbosity flows to NLG; weights/bubble-zone measurable OR hide-until-wired; RECOMMEND per-control sub-PRs+human scope sign-off; tc/lint/vitest,done,#332
F061,MEDIUM,Coaching Settings,coaching-settings,`WeightDistributor.tsx` + `insights.ts:283-287`,"The 5 ""Comparison Weighting"" sliders persist `weight_*` but have zero consumers in `src/` (no `philosophy.weightHistorical` read anywhere). Roster-comparison weighting described in the doc is not implemented.",B20-coaching-settings-engine-wiring,B,review-gated,fix,per-control browser red->green: alert toggle suppresses type; verbosity flows to NLG; weights/bubble-zone measurable OR hide-until-wired; RECOMMEND per-control sub-PRs+human scope sign-off; tc/lint/vitest,done,#332
F062,MEDIUM,Coaching Settings,coaching-settings,"`page.tsx:429-463` / Fairway `:388-439`, hook map `:78-81`","Display Preferences (`Show Strokes Gained`, `Show advanced statistics`, `Insight Detail Level`) persist but are not consumed by any render component, and `insight_verbosity` is ignored by the NLG layer (orchestrator hardcodes `verbosity` at `orchestrator.ts:704,738,902`).",B20-coaching-settings-engine-wiring,B,review-gated,fix,per-control browser red->green: alert toggle suppresses type; verbosity flows to NLG; weights/bubble-zone measurable OR hide-until-wired; RECOMMEND per-control sub-PRs+human scope sign-off; tc/lint/vitest,done,#332
F063,MEDIUM,Courses + What’s New,courses-whatsnew,`src/app/golf/(dashboard)/FairwayDashboardShell.tsx:95-159`,"The Course Library route `/golf/dashboard/courses` is in NEITHER the coach nor player nav section built by `buildNavSections`, and has NO entry in `CommandPalette.tsx` either. It is only reachable by typing the URL or via the in-round tee/course picker.",B33-course-library-discoverability-robustness,B,autonomous,fix,browser: Courses nav entry (coach+player)+palette; courses/error.tsx; getCourseTeeCounts paginated; pattern_type->human label; HOT FairwayDashboardShell; vitest+tc/lint,done,#332
F064,MEDIUM,Development Plans,development-plans,FocusAreaCard.tsx:223-268 / page.tsx:60-81,"`SourceChip` renders a real `<Link>` ""From a round review"" / ""From a CoachHelm insight"" only when `from_review_id`/`from_insight_id` is present, but the route SELECT omits both columns (and `review_context`).",B13-development-route-select-provenance-sparkline-outcome,B,review-gated,fix,browser: SourceChip link renders; sparkline draws; 'Did the coaching land?' advances via from_insight_id join (code-only; outcome_status stays on golf_coach_insights); tc/lint/vitest,done,#332
F065,MEDIUM,Development Plans,development-plans,"FocusAreaCard.tsx:99-105,140-145 / page.tsx:60-81","The per-area Sparkline consumes `progressHistory` (from `golf_player_focus_areas.progress_notes.entries[]`), but the route never selects `progress_notes` and never maps it into `progressHistory`.",B13-development-route-select-provenance-sparkline-outcome,B,review-gated,fix,browser: SourceChip link renders; sparkline draws; 'Did the coaching land?' advances via from_insight_id join (code-only; outcome_status stays on golf_coach_insights); tc/lint/vitest,done,#332
F066,MEDIUM,Development Plans,development-plans,development.ts:177-194,"`updateFocusArea` filters the UPDATE by `.eq('coach_id', coach.id)`. A Supabase UPDATE matching 0 rows returns `error: null`, so the action returns `{ success: true }` even when nothing changed. Focus areas created via `createFocusAreaFromReview`/`createFocusAreaFromInsightV2` set `coach_id` to ""any one coach who staffs the team"" (development.ts:447,517) or null; an assistant/second coach (or any coach editing a null-coach_id row) silently no-ops.",C1-development-progress-notes-revalidate,C,autonomous,fix,F066 0-row update -> success:false (verifyPlayerAccess); F121 add /insights+/analytics/coachhelm revalidate; progress_notes stays {entries}; SERIALIZE w/ A3 companion (HOT development.ts); vitest+tc/lint,done,#330
F067,MEDIUM,Documents + Travel,docs-travel,src/app/golf/actions/travel.ts:1-966,"`golf_travel_expense_splits` (per-player split table) is in the schema and referenced by the feature doc, but there is no split CRUD, no split calc, and no UI consuming it anywhere in travel actions/components. `paid_by:'split'` is selectable but never produces split rows.",B32-travel-dormant-schema-features,B,autonomous,fix,minimal: remove 'split' option until CRUD built; add optional event picker (event_id); PRODUCT GATE build splits (L) vs remove (S); vitest+tc/lint,done,#329
F068,MEDIUM,Documents + Travel,docs-travel,src/components/fairway/pages/travel/FairwayItineraryModal.tsx:37-104,"`golf_travel_itineraries.event_id` (link to `golf_events`) exists and `createGolfTravelItinerary` accepts it (travel.ts:28,164), but the create/edit modal has no event picker, so `event_id` is always null. The documented ""Links to golf_events via event_id"" flow never fires from the UI.",B32-travel-dormant-schema-features,B,autonomous,fix,minimal: remove 'split' option until CRUD built; add optional event picker (event_id); PRODUCT GATE build splits (L) vs remove (S); vitest+tc/lint,done,#329
F069,MEDIUM,Join team,join-team,src/app/golf/join/[code]/page.tsx:32-37 + src/app/golf/(onboarding)/player/page.tsx:86,"A logged-in **coach** (has `golf_coaches`, no `golf_players`) who opens a `/golf/join/<code>` link is treated as a not-onboarded player and force-redirected to `/golf/player` onboarding, where `ensurePlayerRecord()` creates a `golf_players` row for them. The join route has no coach branch.",C16-join-code-cross-role-login-label,C,autonomous,fix,coach branch (no stray golf_players row); login preserves ?joinCode; 'Class of 2027' label not raw year; tc/lint/vitest,done,#331
F070,MEDIUM,Join team,join-team,src/components/auth/golf-sign-in-form.tsx:95-110,"Invite via **login** (not signup): when an existing-but-not-onboarded user logs in at `/golf/login?returnTo=/golf/join/<code>`, `needsOnboarding` is true so `storedReturnTo` is discarded and they go to bare `/golf/player` / `/golf/coach` with **no `?joinCode=`** appended. The comment claims ""the join page will redirect to onboarding with the joinCode anyway,"" but the user is sent straight to onboarding, not the join page, so the code is lost.",C16-join-code-cross-role-login-label,C,autonomous,fix,coach branch (no stray golf_players row); login preserves ?joinCode; 'Class of 2027' label not raw year; tc/lint/vitest,done,#331
F071,MEDIUM,Messaging,messages,src/hooks/golf/use-golf-messages.ts:91-97 vs supabase baseline:2822-2841,"The thread fetch filters `is_deleted=false`, but the RPC's `last_message_*` preview and `unread_count` subqueries do NOT filter `is_deleted`. A soft-deleted message can drive the rail's last-message preview (shows blank/""No messages yet"") and a soft-deleted unread message still increments the unread badge.",A1-messaging-rpc-idor,A,review-gated,fix,RLS test: demo player calls rpc with coach user id -> 0 rows/42501; role_routine_grants shows NO anon; soft-deleted msg excluded from preview+unread_count; browser own threads unchanged; tc/lint/vitest,done,Wave A · A1 (soft-deleted excluded from preview/unread)
F072,MEDIUM,Messaging,messages,src/app/actions/messages.ts:337-344 + supabase baseline:2836-2841,"""Mark as read"" sets `golf_messages.read=true` only for messages where `sender_id != me`, and `unread_count` is computed from `read=FALSE`. But the rail's realtime refetch is keyed on `golf_conversation_participants`/`golf_conversations` changes, NOT on the `golf_messages` UPDATE that `markMessagesAsRead` performs. Opening a thread updates `last_read_at` (a participant row) which DOES trigger a refetch — so it mostly works — but if a read happens without a participant-row write the badge can lag.",B35-messaging-read-badge-notif-hygiene,B,autonomous,fix,markRead awaited/caught; badge clears on open (app-side; RPC is_deleted=A1/F071); notif fan-out batched; vitest+tc/lint,done,#329
F073,MEDIUM,My Development,my-development,FairwayMyDevelopment.tsx:430-441 + page.tsx:87-106 + FocusAreaCard.tsx:475-482,"The page select never fetches `progress_notes`, and neither `page.tsx` nor `FairwayMyDevelopment` ever sets `progressHistory` on the `FocusAreaCardData` passed to `FocusAreaCard`. So `series` is always empty, `hasTrend` is always false.",C6-mydev-trend-review-source-link,C,autonomous,fix,seed focus area w/ progress_notes+from_review_id: sparkline draws; review link resolves via golf_round_reviews.round_id; unit+tc/lint,done,#332
F074,MEDIUM,My Development,my-development,FocusAreaCard.tsx:236-238,"`SourceChip` builds the ""From a round review"" href as `/golf/dashboard/rounds/${reviewId}/review` using `focusArea.from_review_id`. But `from_review_id` is a `golf_round_reviews.id` (review id), while the review route param `[id]` is a ROUND id — the review page loads `golf_rounds.eq('id', roundId)` (review/page.tsx:175, 262-264). Passing a review id as a round id queries a non-existent round.",C6-mydev-trend-review-source-link,C,autonomous,fix,seed focus area w/ progress_notes+from_review_id: sparkline draws; review link resolves via golf_round_reviews.round_id; unit+tc/lint,done,#332
F075,MEDIUM,My Development,my-development,"page.tsx:108-109, 233 (legacy branch)",The select error `focusAreasError` is only consumed in the redesign fork (`loadError` → `InlineNotice`). In the legacy (flag-OFF) branch the page derives `activeAreas`/`completedAreas` from `focusAreas,C5-mydev-paused-bucket-legacy-error,C,autonomous,mixed,"F126 (live) include paused in buckets; F075 legacy error branch (vitest only, flag-off); tc/lint",done,#332
F076,MEDIUM,My Qualifiers,my-qualifiers,`src/components/fairway/pages/my-qualifiers/FairwayMyQualifiers.tsx:70-72`,`formatDate` uses `new Date(dateStr)` on a `date`-typed `start_date`/`end_date` (`'YYYY-MM-DD'`). Date-only strings parse as UTC midnight; `toLocaleDateString` in a US (negative-offset) timezone renders the **previous calendar day**. The legacy client avoids this by string-splitting (`my-qualifiers-client.tsx:37-45`).,C19-my-qualifiers-correctness,C,autonomous,mixed,F076 string-split date (live); F127 check rounds error; F128 Complete-badge math (N>=N+1 never true); F129 holesPerRound not hardcoded 18 (legacy); vitest+tc/lint,done,#331
F077,MEDIUM,Onboarding,onboarding,"`coach/page.tsx:414-419`, `player/page.tsx:376-381`","`AvatarUpload` uploads the image to Storage and returns a public URL via `onUploadComplete` → stored in `avatarUrl` state, but `avatarUrl` is **never passed** to `completeCoachOnboarding` / `completePlayerOnboarding`, and neither action writes the `avatar_url` column.",B15-onboarding-role-guards-suspense-avatar-resume,B,review-gated,fix,browser: /player Suspense clean build; coach->/player redirected NO golf_players row; player->/coach no golf_coaches row; avatar_url written; coach wizard resumes; outer catch deletes createdCoachId; integration+tc/lint,done,#332
F078,MEDIUM,Onboarding,onboarding,"`onboarding.ts:62-63, 231-243`",The outer `catch` cleanup tracks `createdOrgId` and `createdTeamId` but **not** the created coach id. An unexpected throw after the `golf_coaches` insert (line 157) — outside the explicit `coachError`/`teamError` handlers — deletes the org/team but leaves an **orphan `golf_coaches` row** with `onboarding_completed:true` pointing at a deleted org.,B15-onboarding-role-guards-suspense-avatar-resume,B,review-gated,fix,browser: /player Suspense clean build; coach->/player redirected NO golf_players row; player->/coach no golf_coaches row; avatar_url written; coach wizard resumes; outer catch deletes createdCoachId; integration+tc/lint,done,#332
F079,MEDIUM,Onboarding,onboarding,"`coach/page.tsx:42, 127-135`","Coach wizard step is local `useState` and **no intermediate data is persisted** until the final submit; reload resets to step 1 with all program/profile fields blank. The player wizard, by contrast, persists via `ensurePlayerRecord` + prefills on reload.",B15-onboarding-role-guards-suspense-avatar-resume,B,review-gated,fix,browser: /player Suspense clean build; coach->/player redirected NO golf_players row; player->/coach no golf_coaches row; avatar_url written; coach wizard resumes; outer catch deletes createdCoachId; integration+tc/lint,done,#332
F080,MEDIUM,Player CoachHelm,player-coachhelm,"`WhatIfPanel.tsx:49-50,112` + `FairwayPlayerCoachHelm.tsx:677`","`currentPrediction` is read from `profileData?.currentPrediction`, a field `getPlayerProfile` never returns, and the parent passes no `currentPrediction` prop. So `hasPrediction` is always `false` (""Predicted: --"") and `onSimulate`'s `baseline = profileData?.currentPrediction ?? 0` is always `0` — projected score = raw delta, not an actual scoring number.",B10-whatif-improvements-prediction-wiring,B,review-gated,fix,browser (LIVE-reproduced): What-If shows ranked improvements+Simulate; Predicted finite score; projected=baseline+projectedScoringChange; HOT FairwayPlayerCoachHelm; unit+tc/lint,done,#331
F081,MEDIUM,Player detail (coach),player-detail-coach,`game/page.tsx:45` vs `players/[playerId]/page.tsx:131-143`,The base `/players/[id]` page scopes to the coach's *active* team (cookie-resolved) and `notFound()`s if the player isn't on it; `/game` + `/print` use `verifyPlayerAccess` (ANY staffed team). A multi-team head coach toggled to team A can open `/game` for a team-B player but gets `notFound()` on the base page.,B28-player-detail-access-model-consistency,B,review-gated,fix,access-control scoping -> gated; gate /game+/print to active team (cookie); multi-team fixture or documented manual repro; tc/lint,done,#331
F082,MEDIUM,Recruiting HQ,recruiting-hq,src/components/fairway/pages/recruiting/FairwayRecruitDocuments.tsx:138-141 (also legacy src/components/golf/recruiting/RecruitDocuments.tsx:138-141),"`handleDownload` awaits `getRecruitDocumentUrl(doc.id)` and then calls `openExternalUrl(res.data.url)` → `window.open(url, '_blank')` (capacitor.ts:50). The `window.open` happens after an async gap, so it is no longer inside the user-gesture context — Safari (and strict popup blockers) will block the new tab.",B37-recruiting-hq-bodysize-popup-revalidate,B,review-gated,fix,browser: upload 2-25MB doc succeeds (raise bodySizeLimit OR signed upload); download opens in user-gesture; drop dead revalidatePath; tc/lint,done,#331
F083,MEDIUM,Roster,roster,`src/app/golf/(dashboard)/dashboard/roster/page.tsx:230`,"Coach roster query filters `golf_team_members` by `team_id` only — no `status` filter. Rows with status `pending` or `removed` are rendered as full roster cards (and counted in the header ""N players""). `acceptJoinRequest` inserts `active`, but a removed player re-added, or any direct `pending`/`removed` row, would surface.",B4-roster-active-status-filters (+A4),B,review-gated,mixed,"browser: ghost pending/removed members no longer render/count on roster/team/team-hub; add .in(status active,inactive)/.eq(status active); HOT golf.ts; vitest+tc/lint",done,#332
F084,MEDIUM,Round create/continue,round-create,src/lib/utils/emergency-save.ts:128-137,`clearEmergencySave(roundId)` unconditionally `removeItem`s the `_new` key in addition to the round-specific key.,C11-emergency-save-cross-draft-loss,C,autonomous,fix,clearEmergencySave(id) leaves _new intact; only id=null clears _new; vitest+tc/lint,done,#330
F085,MEDIUM,Round Review,round-review,review/page.tsx:346,"`getStatAverages(round.player_id)` is called with no `teamId`; the action's `teamAvg` branch (round-review-system.ts:1655) only runs when `teamId` is passed, so `teamAvg` is always null. `RoundStatsComparison teamAvg` (page:744) never gets data.",B26-round-review-team-average-wiring,B,autonomous,fix,browser: 'vs team' column shows real averages (resolve active team inside getStatAverages post-auth); vitest+tc/lint,done,#328
F086,MEDIUM,Round Review,round-review,supabase/migrations/20260527000000_prod_public_baseline.sql:21910,"`GRANT ALL ON TABLE public.golf_round_reviews TO anon;` with no later REVOKE (unlike `golf_coach_insights`, relocked in 20260528011000).",A6-revoke-anon-grants-reviews-patterns,A,review-gated,fix,REVOKE ALL FROM anon (mirror 20260528011000); role_table_grants anon->0 rows; anon key SELECT/INSERT denied; authenticated writes still work; do NOT re-grant anon; tc/lint/vitest,done,Wave A · A6 anon GRANT ALL revoked on golf_round_reviews + pgTAP
F087,MEDIUM,Rounds list,rounds-list,page.tsx:98-102,"Coach team-member query has **no `status` filter** (`golf_team_members.select('player_id').eq('team_id', teamId)`), unlike every other coach surface (dashboard-data.ts:282, insights.ts:621, player-profile-stats.ts:78/323 all `.eq('status','active')`).",B27-rounds-list-active-status-pagination,B,autonomous,fix,browser: inactive-roster rounds excluded; >50 rounds reachable via range/load-more (fetchAllRowsResult); tc/lint/vitest,done,#328
F088,MEDIUM,Rounds list,rounds-list,"page.tsx:111-117 (coach), page.tsx:130-137 (player)","Completed-rounds query hard-caps at `.limit(50)` with no ""load more""/range pagination. Coach teams with >50 completed rounds (easily exceeded by a full roster over a season) silently lose access to older rounds from this tab.",B27-rounds-list-active-status-pagination,B,autonomous,fix,browser: inactive-roster rounds excluded; >50 rounds reachable via range/load-more (fetchAllRowsResult); tc/lint/vitest,done,#328
F089,MEDIUM,Settings + Notifications,settings-core,src/components/fairway/pages/settings/FairwaySettingsGeneral.tsx (no DistanceUnitsPanel),The legacy page exposes a Distance Units (yards/meters) panel (`page.tsx:362-371`); the live Fairway page omits it entirely. `useDistanceUnits` still drives display across the app.,B16-settings-resilience-distance-units-multiorg,B,autonomous,fix,browser: failed profile fetch -> error+Retry (was infinite skeleton); Distance Units panel persists; cross-org team-settings save gated (no half-apply); no new RLS; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F090,MEDIUM,Settings + Notifications,settings-core,src/components/fairway/pages/settings/FairwaySettingsGeneral.tsx:170-242,"`loadProfile()` has no try/catch and no error branch; if the player `golf_players`/`golf_teams` fetch fails, `setProfile` is never called and the page stays on the skeleton forever (`:278`).",B16-settings-resilience-distance-units-multiorg,B,autonomous,fix,browser: failed profile fetch -> error+Retry (was infinite skeleton); Distance Units panel persists; cross-org team-settings save gated (no half-apply); no new RLS; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F091,MEDIUM,Settings + Notifications,settings-core,src/components/golf/CommandPalette.tsx:106,"Command palette surfaces ""Notification Preferences"" → `/golf/dashboard/settings/notifications` to all users including coaches; coaches land on the player-only ""not available"" card.",B3-notification-delivery-consolidation,B,review-gated,fix,browser: coach Notifications panel persists to users.notification_preferences; palette no dead-end; delivery-gate test off->no send; defaults aligned; .maybeSingle() on write read; no anon grant; orphaned golf_player_notification_state left in place; HOT FairwaySettingsGeneral; tc/lint/vitest,done,#332
F092,MEDIUM,Tasks,tasks,vercel.json:36-86 (no task-reminder cron) + src/app/golf/actions/task-reminders.ts:257 `processReminders`,"`setTaskReminder` sets `golf_tasks.reminder_at`, but no scheduler ever calls `processReminders`/`getDueReminders`; `golf_task_reminders` is never populated by the UI (no inserts found)",C23-tasks-dead-code-retire-reminder-cron,C,review-gated,mixed,"F152 delete 3 zero-caller actions (retire-dead-code); F034 retire legacy TaskCard fork (gated deletion); F092/93/94 new cron (golf_tasks.reminder_at, recipients via golf_players.user_id)+delete broken task-reminders.ts queue; HOT tasks.ts serialize after B2; vitest+tc/lint",done,#332
F093,MEDIUM,Tasks,tasks,src/app/golf/actions/task-reminders.ts:48,"`setTaskReminder` selects `created_by` from `golf_tasks`, but the table has no `created_by` (it is `assigned_by`)",C23-tasks-dead-code-retire-reminder-cron,C,review-gated,mixed,"F152 delete 3 zero-caller actions (retire-dead-code); F034 retire legacy TaskCard fork (gated deletion); F092/93/94 new cron (golf_tasks.reminder_at, recipients via golf_players.user_id)+delete broken task-reminders.ts queue; HOT tasks.ts serialize after B2; vitest+tc/lint",done,#332
F094,MEDIUM,Tasks,tasks,"src/app/golf/actions/task-reminders.ts:182-183, 400-401","Embedded joins `users!assigned_to` / `users!created_by` / `users!assigned_by` assume `golf_tasks.assigned_to` references `users.id`, but it references `golf_players.id` (and `created_by` does not exist)",C23-tasks-dead-code-retire-reminder-cron,C,review-gated,mixed,"F152 delete 3 zero-caller actions (retire-dead-code); F034 retire legacy TaskCard fork (gated deletion); F092/93/94 new cron (golf_tasks.reminder_at, recipients via golf_players.user_id)+delete broken task-reminders.ts queue; HOT tasks.ts serialize after B2; vitest+tc/lint",done,#332
F095,MEDIUM,Team Stats,team-stats,`page.tsx:159-167`,"`golf_holes` query passes the **entire** `roundIds` array into a single `.in('round_id', roundIds)` on every paginated page. The *response* is paginated, but the *filter list* is not chunked. For a large multi-season roster (>~1000 completed rounds) the round-id list is serialized into the request URL (~40 chars/UUID), which can exceed PostgREST/proxy URL length limits and 414/silently drop.",B29-team-stats-roundids-chunking,B,autonomous,fix,chunk 300 ids/batch+merge; vitest >300 ids -> ceil(N/300) calls; SERIALIZE w/ B30 (same file); tc/lint,done,#329
F096,LOW,Announcements,announcements,"src/app/golf/actions/announcements.ts:120-121, 248-251","The row is always written with `send_push:false, send_email:false`, but the action unconditionally fires `sendBulkPushNotification` + `notifyTeamAnnouncement` to all target players. The persisted flags contradict the actual delivery, and there is no UI toggle to disable push/email for a given announcement.",C12-announcements-robustness-nits,C,autonomous,fix,flags match delivery; batch task inserts (no destructive); explicit .eq player_id (RLS test); vitest+tc/lint,done,#332
F097,LOW,Announcements,announcements,src/app/golf/actions/announcements.ts:165-208,Inline-task creation is a sequential await loop: per task it does INSERT golf_tasks → INSERT golf_announcement_tasks → INSERT golf_task_assignments (each awaited serially).,C12-announcements-robustness-nits,C,autonomous,fix,flags match delivery; batch task inserts (no destructive); explicit .eq player_id (RLS test); vitest+tc/lint,done,#332
F098,LOW,Announcements,announcements,src/app/golf/actions/announcements.ts:579-606 + RLS golf_task_assignments_player_select,"When a PLAYER opens `getAnnouncementDetail`, the assignments query is issued unscoped (`.in(task_id, ...)`) and relies on RLS to scope it. `golf_task_assignments_player_select` returns ONLY the player's own assignment row, which is the correct outcome for the player UI (it renders only `myAssignment`). However the server code is written as if it expects all assignments back (it later filters per task), so the design intent depends silently on RLS. Not a leak — flagging as a correctness/robustness note.",C12-announcements-robustness-nits,C,autonomous,fix,flags match delivery; batch task inserts (no destructive); explicit .eq player_id (RLS test); vitest+tc/lint,done,#332
F099,LOW,Auth,auth-flows,src/app/golf/(auth)/login/page.tsx:214,"The already-signed-in ""Continue"" button uses raw `returnTo` (`router.push(returnTo",B18-auth-server-action-reset-flow,B,review-gated,fix,browser: forgot via rate-limited action+generic msg; full reset E2E (recovery session/exchangeCodeForSession); returnTo via isSafeInternalPath; signup revalidates; F039 needsLiveVerify; tc/lint/vitest,done,#331
